yr,site,mo,avg.ndvi,sd.ndvi
2017,LUM1,Jan,0.546200194,0.0212484
2017,LUM1,Feb,0.615107449,0.028330082
2017,LUM1,Mar,0.611264559,0.019549346
2017,LUM1,Apr,0.593889994,0.024891623
2017,LUM1,May,0.567558214,0.02539726
2017,LUM1,Sep,0.690942407,0.034194592
2017,LUM1,Oct,0.667943825,0.064952647
2017,LUM1,Nov,0.613364163,0.026237261
2017,LUM1,Dec,0.547791503,0.029965723
2017,LUM2,Jan,0.515148378,0.0212484
2017,LUM2,Feb,0.623263762,0.028330082
2017,LUM2,Mar,0.594445421,0.019549346
2017,LUM2,Apr,0.651043721,0.024891623
2017,LUM2,May,0.668365568,0.02539726
2017,LUM2,Jun,0.675817474,0.034194592
2017,LUM2,Sep,0.679917387,0.064952647
2017,LUM2,Oct,0.626435915,0.026237261
2017,LUM2,Nov,0.590988028,0.029965723
2017,LUM2,Dec,0.563539577,NA
2017,LUM3,Jan,0.519229643,0.020952109
2017,LUM3,Feb,0.628563111,0.024681352
2017,LUM3,Mar,0.661867051,0.043526224
2017,LUM3,Apr,0.618474467,0.058744703
2017,LUM3,May,0.579660912,0.032882719
2017,LUM3,Jun,0.637381909,0.020794256
2017,LUM3,Sep,0.665795739,0.036787446
2017,LUM3,Oct,0.588127942,0.074601923
2017,LUM3,Nov,0.569703171,0.045847687
2017,LUM3,Dec,0.411859712,0.025562508
2018,LUM1,Jan,0.483132196,0.026650877
2018,LUM1,Feb,0.565849312,0.024036772
2018,LUM1,Mar,0.600115701,0.040244332
2018,LUM1,Apr,0.617276148,0.024394852
2018,LUM1,May,0.68678426,0.035754365
2018,LUM1,Jun,0.635359984,0.029768923
2018,LUM1,Sep,0.70550404,0.033659394
2018,LUM1,Oct,0.648826233,0.044326069
2018,LUM1,Nov,0.597626569,0.046970842
2018,LUM2,Jan,0.404630908,0.011861608
2018,LUM2,Feb,0.520075493,0.035470317
2018,LUM2,Mar,0.586980788,0.041866177
2018,LUM2,Apr,0.667799994,0.029699209
2018,LUM2,May,0.706348798,0.030675797
2018,LUM2,Jun,0.663227555,0.034475668
2018,LUM2,Sep,0.735212704,0.059184273
2018,LUM2,Oct,0.673604294,0.042862139
2018,LUM2,Nov,0.576707135,0.044523323
2018,LUM3,Jan,0.388042141,0.037773185
2018,LUM3,Feb,0.513150931,0.040611023
2018,LUM3,Mar,0.620759016,0.027668367
2018,LUM3,Apr,0.66098291,0.028154562
2018,LUM3,May,0.633222395,0.054945253
2018,LUM3,Jun,0.59597619,0.044616789
2018,LUM3,Sep,0.667900805,0.047670847
2018,LUM3,Oct,0.602612809,0.038114044
2018,LUM3,Nov,0.570556355,0.042206638
